"HolderAddress","Balance","PendingBalanceUpdate"
"0x1cdd8a78159ebe214db3d080319bb611ce13da1c","32278483.2101925","No"
"0xe07a66f2ff551660ca68ac59adc4bd7f86f8f29e","2646000","No"
"0xced4f946febcac72d6727c07de5b2664b2267a6f","214723476.704881","No"
"0xe365c9b173c26d73cc37e59fa93d6b0bc3e5832a","4090.05916185","No"
"0x5e3773713f0a20806168d633652b905ee7253f83","3989.680919036","No"
"0xcb692809bf98a8201648b3c81f7231230f5cdfb1","3989.068031714","No"
"0x52d96a78e51405e9ef7e3529d949c7d0599f2575","3190.764228533","No"
"0x6f75810d4e90d9eac81640e29103cd0ba774d1ea","3190.27414468","No"
"0x691858a570ceec5a0a0c29cd22c468f32564ab93","31.672440027","No"
"0x000ddd8f0d3deefcbf0b6f9d14b2507dabb99a0f","822248.974372985","No"
"0x72ea25892494fffd695905843a80850063defbbc","46640.370752795","No"
"0xdb588a182183b9a32658697db44bd09cd2b820ae","0.493283383","No"
"0xf1c49915d758eae56fe78e6472b2296e7eabc1d6","8819.700033133","No"
"0x3155e81cde84dedb079d39a68f7da9fd8f61a2e2","1200","No"
"0x4fbe15384e1d219a432fb97b635459e839b144b4","786212.107840169","No"
"0x7a3f05553b0e0a06221a11ccc7e69c7da2df4de5","29550.330931267","No"
"0x6b7f39f600ecb21e54d77879416d421767d9dbbe","0.26703096","No"
"0x3b599d5bece10c741c248c18e7734789cf1c13c3","1517.250301924","No"
"0x00000000f7b7d8a2974a129cbadd9f2f99c1ff80","1E-09","No"
"0x9e5ec52393c8e178cd08948470de253919760f38","45696.77056199","No"
"0x3778ae5bb06f6dcf3fe97f891bb09dbc095603fb","9702.334394297","No"
"0xcc8dd60a8cd21205d077a6feb43c9bc9ed70fa18","160049","No"
"0x1af68aa03354d7b54d4b01ce2b3609ee7f4df128","269980.818145133","No"
"0x4e594e140ed518a90c4d95f762a6c8971982b2e0","550000","No"
"0xec64f426207ccd5b76baa38f14c6b25beeae61f4","158467.922242441","No"
"0x331c32ff53330073c47a782c62a68293e309bbaa","1187070.85385002","No"
"0x3ce8462fab3162688415a675d40cf458a641768b","409001.479611913","No"
"0xccc08f3b351882ae52bdeed5f14f0873d644f324","356214.80742593","No"
"0x5cd7a65101fcb78d19b54fc559ea437cb51a184f","1534761.5946634","No"
"0x15abd20848f91a3796fa00760e0e4f007d7b0090","212835.835101095","No"
"0xe47ec6feb679d7372f0991b9c64b2ce333b9fd91","31.002185213","No"
"0x4e270156bda7baf765ea35003dd04a7ac2bd4e61","76210.592047349","No"
"0x9f7d0eda616b33bc559b43d68c552325ff263e24","27256","No"
"0xd0d8c68d5b9e45cc6a74abb5a5234a6330a45b0b","1000000","No"
"0x8dce225ae8b291cab32ea307f6c0e9ea2cce914f","34116.833769376","No"
"0x1174d48e3c232e61fea47ebc0e375711bf5a1c52","300721.75721258","No"
"0x1d9c132d51bbd06d931011a32e029cf2a4db6fb2","0.11282752","No"
"0x3dd886bfc22eb2090fd7e3b82c70ab964ae444ba","3018.882065153","No"
"0xd0b0f5004567dd630ab788936e71a6684c13552c","200578.470267809","No"
"0xe82d2d1bb9879498eeb1f78a459da59fb4b610c7","80894.274496673","No"
"0xa20fc063702b5f2cce3adc5ea9a9ee828379b9df","38067.047939993","No"
"0x7d8f20d623c5017283d3beff2cc7e1e6514ea24d","10000","No"
"0xe59e6984a41dab4c03bb37d53269a13dc8b61d00","3811246.71421496","No"
"0x5f59dc0fb7d089efff00f732dafe1e32301e9d1e","506558.978998795","No"
"0x39e37950d22ce38ac2e1a49b696982707ddeef10","8906167.85904398","No"
"0x3ab3587abe074d346a49a880ae5624b9c735cb59","787684.250669579","No"
"0x37a5071c273b8826b7c95d407386c03f763a991b","2278344.81518651","No"
"0xf26c8de124da497ec9688f4d3d5449d4d24cb6c5","111252.11377437","No"
"0x193136d2512ff51a68f8fe422ff42cdeb3d9839f","2968.299345349","No"
"0x15a5e506e236aed99cc4552432fd1f8d223d8b85","1481535.47083594","No"
"0x0ae120fce17db7a7402e399da4ede2b98dcd4958","1278943.6287001","No"
"0xf0b481823ce1fd808f2196a2af17239f0f458b25","73787.29724548","No"
"0xf90a01af91468f5418cda5ed6b19c51550eb5352","612113.994067179","No"
"0xd0a1454963fb17f427fe744a084facd0ed60a774","242650.83823939","No"
"0x26654eeba520d2f196f9625ffe1b08ae710bf381","268596.651760437","No"
"0x5d21f7045e20a920d89e4e5baf576e298b2ae96a","6182026.36412549","No"
"0x4e1b8953143c03096a2349d64fb03ba225495325","9.067783694","No"
"0xe3edcf88a5cc44e0d2466eb6b61b644d18f9a868","971579.997857654","No"
"0x59a0453bfbbec3f184f4fba8700f0712e84f7c3c","459086.942408811","No"
"0x44810079512dbc23a8246ad0e7669d0eec3b3a90","1750843.52111356","No"
"0x99fd45cdd6a566d6c99e58568250fed1a9110bd0","14167.588080316","No"
"0x8cfa6f339df9d534682d065a31d09b14f67f7733","32316733.1170244","No"
"0xf98f08c98e6a53f6b5ffc6021cdd357c09c3a3f0","36397.84275023","No"
"0x7aa10e1538368d0203f0a515570659da15395180","0.068701269","No"
"0x1d992c33dac789e1d3e4cb9e4b92faa7779d0405","65814.891519925","No"
"0x5e68d93b1599340f692921028c14e3220f45e3be","1714325.6026421","No"
"0x77c6019d654b7f2a8d3ee98904f048df28ab4866","6502754.30525222","No"
"0x0450b9ea37d42727abcca1df85473f4b77e01bbc","21631.59999896","No"
"0x829cf6719a83d54adc8096b4158bee564b972514","92418.446620358","No"
"0x4c2673420de3ab21cd4a2fc7b4d2eb5d6622ee22","83089.878256583","No"
"0x9e6973bc403a168e0b931d9dd2d8bf2e2fa61c03","6543.25","No"
"0xecc3c163c1157931105b1c2383058b596050f95e","36954.525747482","No"
"0xd3fdf2a3a5f06f7f9ed0989a5d398a616d726a25","806185.322129367","No"
"0xe9d1e0edcb6a4eefc93422bc30d916b4a3e3d56e","1824540.38954612","No"
